FID IID population super_pop sex caffeine_consumption purple_hair
HG00096 HG00096 GBR EUR 0 4 1
HG00099 HG00099 GBR EUR 1 4 2
HG00105 HG00105 GBR EUR 0 4 2
HG00118 HG00118 GBR EUR 1 3 2
HG00129 HG00129 GBR EUR 0 6 2
HG00148 HG00148 GBR EUR 0 2 1
HG00177 HG00177 FIN EUR 1 4 2
HG00182 HG00182 FIN EUR 0 2 2
HG00242 HG00242 GBR EUR 0 1 1
HG00254 HG00254 GBR EUR 1 2 1
HG00265 HG00265 GBR EUR 0 0 2
HG00271 HG00271 FIN EUR 0 5 1
HG00274 HG00274 FIN EUR 1 4 2
HG00332 HG00332 FIN EUR 1 5 2
HG00335 HG00335 FIN EUR 0 4 2
HG00369 HG00369 FIN EUR 0 3 2
HG00421 HG00421 CHS EAS 0 6 1
HG00436 HG00436 CHS EAS 0 5 2
HG00452 HG00452 CHS EAS 1 5 2
HG00472 HG00472 CHS EAS 0 7 2
HG00530 HG00530 CHS EAS 0 5 1
HG00534 HG00534 CHS EAS 1 5 2
HG00583 HG00583 CHS EAS 0 7 2
HG00590 HG00590 CHS EAS 1 5 1
HG00598 HG00598 CHS EAS 0 1 1
HG00607 HG00607 CHS EAS 0 5 1
HG00619 HG00619 CHS EAS 0 5 2
HG00623 HG00623 CHS EAS 1 5 1
HG00657 HG00657 CHS EAS 1 4 2
HG00663 HG00663 CHS EAS 1 4 1
HG00704 HG00704 CHS EAS 0 5 1
HG00705 HG00705 CHS EAS 1 5 2
HG00733 HG00733 PUR AMR 1 5 1
HG00864 HG00864 CDX EAS 1 6 1
HG00881 HG00881 CDX EAS 0 6 1
HG01052 HG01052 PUR AMR 1 4 1
HG01070 HG01070 PUR AMR 1 4 2
HG01075 HG01075 PUR AMR 0 6 1
HG01164 HG01164 PUR AMR 0 3 1
HG01174 HG01174 PUR AMR 1 3 1
HG01241 HG01241 PUR AMR 0 5 2
HG01248 HG01248 PUR AMR 1 4 1
HG01256 HG01256 CLM AMR 0 4 1
HG01275 HG01275 CLM AMR 1 5 2
HG01284 HG01284 CLM AMR 1 5 1
HG01334 HG01334 GBR EUR 0 4 1
HG01348 HG01348 CLM AMR 1 6 1
HG01396 HG01396 PUR AMR 1 5 1
HG01443 HG01443 CLM AMR 0 4 1
HG01491 HG01491 CLM AMR 0 4 1
HG01498 HG01498 CLM AMR 1 5 1
HG01537 HG01537 IBS EUR 1 6 2
HG01572 HG01572 PEL AMR 1 3 1
HG01606 HG01606 IBS EUR 0 7 1
HG01623 HG01623 IBS EUR 1 5 1
HG01630 HG01630 IBS EUR 0 5 2
HG01783 HG01783 IBS EUR 0 6 2
HG01784 HG01784 IBS EUR 1 3 1
HG01790 HG01790 GBR EUR 1 2 1
HG01799 HG01799 CDX EAS 1 5 1
HG01801 HG01801 CDX EAS 1 5 1
HG01806 HG01806 CDX EAS 1 4 1
HG01812 HG01812 CDX EAS 1 6 1
HG01813 HG01813 CDX EAS 1 5 2
HG01817 HG01817 CDX EAS 1 6 2
HG01848 HG01848 KHV EAS 1 4 2
HG01849 HG01849 KHV EAS 0 6 2
HG01857 HG01857 KHV EAS 1 7 1
HG01863 HG01863 KHV EAS 1 6 1
HG01874 HG01874 KHV EAS 1 7 1
HG01915 HG01915 ACB AFR 1 3 1
HG01924 HG01924 PEL AMR 1 5 1
HG01965 HG01965 PEL AMR 1 6 2
HG01970 HG01970 PEL AMR 0 5 1
HG01991 HG01991 PEL AMR 0 6 1
HG02010 HG02010 ACB AFR 1 4 1
HG02020 HG02020 KHV EAS 0 5 1
HG02054 HG02054 ACB AFR 1 4 1
HG02086 HG02086 KHV EAS 1 4 1
HG02087 HG02087 KHV EAS 1 5 1
HG02116 HG02116 KHV EAS 0 8 2
HG02122 HG02122 KHV EAS 0 3 2
HG02130 HG02130 KHV EAS 1 4 1
HG02131 HG02131 KHV EAS 0 4 1
HG02152 HG02152 CDX EAS 1 4 2
HG02154 HG02154 CDX EAS 1 7 1
HG02165 HG02165 CDX EAS 1 5 1
HG02224 HG02224 IBS EUR 0 4 2
HG02232 HG02232 IBS EUR 1 2 1
HG02236 HG02236 IBS EUR 0 6 2
HG02250 HG02250 CDX EAS 0 7 1
HG02259 HG02259 PEL AMR 0 6 1
HG02298 HG02298 PEL AMR 1 5 1
HG02318 HG02318 ACB AFR 1 3 2
HG02345 HG02345 PEL AMR 1 3 1
HG02351 HG02351 CDX EAS 0 4 1
HG02363 HG02363 CDX EAS 0 5 2
HG02373 HG02373 CDX EAS 0 5 2
HG02383 HG02383 CDX EAS 0 5 2
HG02384 HG02384 CDX EAS 0 5 1
HG02386 HG02386 CDX EAS 0 6 2
HG02388 HG02388 CDX EAS 0 4 2
HG02389 HG02389 CDX EAS 0 5 1
HG02397 HG02397 CDX EAS 0 7 1
HG02419 HG02419 ACB AFR 1 2 1
HG02462 HG02462 GWD AFR 1 3 2
HG02464 HG02464 GWD AFR 0 3 1
HG02497 HG02497 ACB AFR 1 2 2
HG02511 HG02511 ACB AFR 1 3 1
HG02521 HG02521 KHV EAS 0 6 2
HG02561 HG02561 GWD AFR 0 4 2
HG02574 HG02574 GWD AFR 1 2 2
HG02580 HG02580 ACB AFR 1 6 1
HG02595 HG02595 GWD AFR 1 5 1
HG02603 HG02603 PJL SAS 0 3 2
